,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud,Total_Servicios_Disponibles,Categoria_Poblacion
195,SANTA FE,San Lorenzo,Villa Mugueta,2139,False,True,False,False,True,True,True,False,True,82119160.0,-33.3139349307156,-61.0570695285482,5,Mediana
196,BUENOS AIRES,General Paz,Villanueva (Ap. Río Salado),537,False,False,False,False,False,True,True,False,False,6343040.0,-35.6776271050909,-58.4350923167562,2,Pequeña
197,BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),811,True,False,False,True,False,True,True,True,True,6351010.0,-34.4162137301573,-61.9280141749282,6,Pequeña
198,BUENOS AIRES,General Pinto,General Pinto,6557,False,False,True,False,True,False,True,True,True,6351020.0,-34.764155990724,-61.8900674920122,5,Mediana
199,BUENOS AIRES,General Pinto,Germania (Est. Mayor José Orellano),1397,True,False,False,False,False,False,False,True,True,6351030.0,-34.576111833277,-62.0518306894073,3,Pequeña
200,BUENOS AIRES,General Pinto,Gunther,23,False,False,False,False,False,False,False,True,False,6351035.0,-34.5994995308259,-61.9164989081536,1,Muy pequeña
201,BUENOS AIRES,General Pinto,Villa Francia (Est. Coronel Granada),1176,False,False,False,True,True,False,True,False,True,6351040.0,-34.7913160212074,-62.2011090686366,4,Pequeña
202,BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),38,False,False,False,False,False,False,False,False,False,6351050.0,-34.5798302278832,-62.1710489234118,0,Muy pequeña
203,BUENOS AIRES,General Pueyrredón,Barrio Colinas Verdes,0,False,False,False,False,False,True,False,True,True,6351020.0,-37.8931024789245,-57.8261645643114,3,Muy pequeña
204,BUENOS AIRES,General Pueyrredón,Barrio El Boquerón,509,False,False,False,False,False,True,False,False,True,6357020.0,-38.0297229162982,-57.7995485049706,2,Pequeña
205,BUENOS AIRES,General Pueyrredón,Barrio El Casal,0,False,False,False,False,False,True,False,False,False,6357110.0,-37.8324145231571,-57.6311155465986,1,Muy pequeña
206,BUENOS AIRES,General Pueyrredón,Barrio El Coyunco,0,False,False,False,True,False,True,False,True,True,6357110.0,-37.9050810135269,-57.7391824086455,4,Muy pequeña
207,BUENOS AIRES,General Pueyrredón,Barrio La Gloria,415,False,False,False,False,False,True,False,True,True,6357050.0,-37.9068268303117,-57.7858860640391,3,Muy pequeña
208,BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,644,False,False,False,True,False,True,False,True,True,6357060.0,-37.9317157840639,-57.683162032898,4,Pequeña
209,BUENOS AIRES,General Pueyrredón,Batán,10152,True,False,False,True,True,True,True,True,True,6357070.0,-38.0086211557001,-57.7085500402678,7,Grande
210,BUENOS AIRES,La Plata,Manuel B Gonnet,0,False,True,False,True,False,False,True,True,True,6441030.0,-34.8819511933447,-58.0189915342036,5,Muy pequeña
211,BUENOS AIRES,La Plata,Poblet,0,False,False,False,False,False,False,False,False,False,6441030.0,-35.0604581,-57.9547426,0,Muy pequeña
212,BUENOS AIRES,La Plata,Ringuelet,0,False,True,False,True,False,False,True,True,True,6441030.0,-34.8910544941568,-57.9913781921596,5,Muy pequeña
213,BUENOS AIRES,La Plata,Rufino De Elizalde,0,False,False,False,False,False,False,False,True,True,6441030.0,-34.9710900774179,-57.9524351288235,2,Muy pequeña
214,BUENOS AIRES,La Plata,ruta del sol,0,True,False,False,True,False,False,True,True,True,6441050.0,-34.9437333541431,-58.1732652389706,5,Muy pequeña
215,BUENOS AIRES,La Plata,ruta del sol,2312,True,False,False,True,False,False,True,True,True,6441050.0,-34.9437333541431,-58.1732652389706,5,Mediana
216,BUENOS AIRES,La Plata,Tolosa,0,False,True,False,True,False,False,True,True,True,6441030.0,-34.9007699307169,-57.9821293495972,5,Muy pequeña
217,BUENOS AIRES,La Plata,Transradio,0,False,False,False,False,True,False,False,True,True,6441030.0,-34.8790055541958,-58.081733864461,3,Muy pequeña
218,BUENOS AIRES,La Plata,Villa Elisa,0,False,True,False,True,False,True,True,True,True,6441030.0,-34.8776205187118,-58.0907139194439,6,Muy pequeña
219,BUENOS AIRES,La Plata,Villa Elvira,0,False,True,False,True,False,True,False,True,True,6441030.0,-34.9406437624757,-57.9214984675578,5,Muy pequeña
220,BUENOS AIRES,La Plata,Villa Garibaldi,0,False,False,False,False,False,True,False,False,False,6441030.0,-34.9986517196678,-57.8404966243711,1,Muy pequeña
221,BUENOS AIRES,La Plata,Villa Montoro,0,False,False,False,False,False,True,False,True,True,6441030.0,-34.9634490535296,-57.9025001308298,3,Muy pequeña
222,BUENOS AIRES,La Plata,Villa Parque Sicardi,0,False,False,False,False,False,True,False,True,True,6441030.0,-34.9830288461923,-57.8674653074052,3,Muy pequeña
223,BUENOS AIRES,Tres Arroyos,Tres Arroyos,46867,True,True,True,True,True,True,True,True,True,6833100.0,-38.3771785795114,-60.2755588939396,9,Grande
224,BUENOS AIRES,Tres Arroyos,Villa Rodríguez (Est. Barrow),17,False,False,False,False,False,False,False,False,True,6833110.0,-38.3125817693893,-60.2324995777758,1,Muy pequeña
